,subject,list,item,input,output,study,recall,repeat,intrusion,prior_list,prior_input,word,corr_rule_numeric,rel_subj_boundary,block,run,points,sona_id
151,53987712fdf99b68e3a45021,3,peacock,38.0,,True,False,0,False,,,peacock,3.0,1.0,22.0,3.0,1.0,53987712fdf99b68e3a45021
152,53987712fdf99b68e3a45021,3,glove,39.0,,True,False,0,False,,,glove,3.0,2.0,22.0,3.0,1.0,53987712fdf99b68e3a45021
153,53987712fdf99b68e3a45021,3,street,40.0,5.0,True,True,0,False,,,street,3.0,-2.0,22.0,3.0,1.0,53987712fdf99b68e3a45021
154,53987712fdf99b68e3a45021,3,maze,41.0,,True,False,0,False,,,maze,3.0,-1.0,22.0,3.0,1.0,53987712fdf99b68e3a45021
155,53987712fdf99b68e3a45021,3,funnel,42.0,,True,False,0,False,,,funnel,2.0,0.0,23.0,3.0,0.0,53987712fdf99b68e3a45021
156,53987712fdf99b68e3a45021,3,tile,43.0,,True,False,0,False,,,tile,2.0,1.0,23.0,3.0,1.0,53987712fdf99b68e3a45021
157,53987712fdf99b68e3a45021,3,mule,44.0,,True,False,0,False,,,mule,2.0,2.0,23.0,3.0,1.0,53987712fdf99b68e3a45021
158,53987712fdf99b68e3a45021,3,pigeon,45.0,,True,False,0,False,,,pigeon,2.0,3.0,23.0,3.0,0.0,53987712fdf99b68e3a45021
159,53987712fdf99b68e3a45021,3,windmill,46.0,,True,False,0,False,,,windmill,2.0,4.0,23.0,3.0,1.0,53987712fdf99b68e3a45021
160,53987712fdf99b68e3a45021,3,oven,47.0,,True,False,0,False,,,oven,2.0,-3.0,23.0,3.0,1.0,53987712fdf99b68e3a45021
161,53987712fdf99b68e3a45021,3,penguin,48.0,,True,False,0,False,,,penguin,2.0,-2.0,23.0,3.0,1.0,53987712fdf99b68e3a45021
162,53987712fdf99b68e3a45021,3,farm,49.0,,True,False,0,False,,,farm,2.0,-1.0,23.0,3.0,1.0,53987712fdf99b68e3a45021
163,53987712fdf99b68e3a45021,3,pencil,50.0,1.0,True,True,0,False,,,pencil,0.0,0.0,24.0,3.0,0.0,53987712fdf99b68e3a45021
164,53987712fdf99b68e3a45021,3,jukebox,51.0,,True,False,0,False,,,jukebox,0.0,1.0,24.0,3.0,0.0,53987712fdf99b68e3a45021
165,53987712fdf99b68e3a45021,3,sleigh,52.0,,True,False,0,False,,,sleigh,0.0,2.0,24.0,3.0,1.0,53987712fdf99b68e3a45021
166,53987712fdf99b68e3a45021,3,carrot,53.0,,True,False,0,False,,,carrot,0.0,3.0,24.0,3.0,1.0,53987712fdf99b68e3a45021
167,53987712fdf99b68e3a45021,3,candle,54.0,,True,False,0,False,,,candle,0.0,4.0,24.0,3.0,1.0,53987712fdf99b68e3a45021
168,53987712fdf99b68e3a45021,3,hornet,55.0,2.0,True,True,0,False,,,hornet,0.0,-3.0,24.0,3.0,1.0,53987712fdf99b68e3a45021
169,53987712fdf99b68e3a45021,3,seat,56.0,3.0,True,True,0,False,,,seat,0.0,-2.0,24.0,3.0,0.0,53987712fdf99b68e3a45021
170,53987712fdf99b68e3a45021,3,hook,,14.0,False,True,0,True,2.0,34.0,hook,3.0,-3.0,13.0,2.0,1.0,53987712fdf99b68e3a45021
171,53987712fdf99b68e3a45021,3,tie,,15.0,False,True,0,True,2.0,21.0,tie,0.0,5.0,11.0,2.0,1.0,53987712fdf99b68e3a45021
172,53987712fdf99b68e3a45021,3,whale,,17.0,False,True,0,True,1.0,3.0,whale,2.0,2.0,1.0,1.0,1.0,53987712fdf99b68e3a45021
173,53987712fdf99b68e3a45021,3,skate,,18.0,False,True,0,True,2.0,40.0,skate,1.0,3.0,14.0,2.0,1.0,53987712fdf99b68e3a45021
174,53987712fdf99b68e3a45021,3,ostrich,,20.0,False,True,0,True,1.0,4.0,ostrich,2.0,3.0,1.0,1.0,1.0,53987712fdf99b68e3a45021
175,53987712fdf99b68e3a45021,4,bridge,1.0,,True,False,0,False,,,bridge,1.0,-1.0,25.0,4.0,1.0,53987712fdf99b68e3a45021
176,53987712fdf99b68e3a45021,4,board,2.0,,True,False,0,False,,,board,1.0,0.0,25.0,4.0,0.0,53987712fdf99b68e3a45021
