,subject,list,item,input,output,study,recall,repeat,intrusion,prior_list,prior_input,word,corr_rule_numeric,rel_subj_boundary,block,run,points,subid,recalled
82,53987712fdf99b68e3a45021,2,land,1.0,,True,False,0,False,,,land,0.0,0.0,9.0,2.0,0.0,53987712fdf99b68e3a45021,False
83,53987712fdf99b68e3a45021,2,laptop,14.0,,True,False,0,False,,,laptop,2.0,-2.0,10.0,2.0,1.0,53987712fdf99b68e3a45021,False
84,53987712fdf99b68e3a45021,2,leaf,28.0,,True,False,0,False,,,leaf,1.0,-1.0,12.0,2.0,0.0,53987712fdf99b68e3a45021,False
85,53987712fdf99b68e3a45021,2,lighter,29.0,,True,False,0,False,,,lighter,3.0,0.0,13.0,2.0,0.0,53987712fdf99b68e3a45021,False
86,53987712fdf99b68e3a45021,2,llama,24.0,,True,False,0,False,,,llama,1.0,-2.0,12.0,2.0,1.0,53987712fdf99b68e3a45021,False
87,53987712fdf99b68e3a45021,2,mitten,9.0,,True,False,0,False,,,mitten,2.0,0.0,10.0,2.0,0.0,53987712fdf99b68e3a45021,False
88,53987712fdf99b68e3a45021,2,moth,7.0,,True,False,0,False,,,moth,0.0,-2.0,9.0,2.0,1.0,53987712fdf99b68e3a45021,False
89,53987712fdf99b68e3a45021,2,mouse,11.0,,True,False,0,False,,,mouse,2.0,2.0,10.0,2.0,1.0,53987712fdf99b68e3a45021,False
90,53987712fdf99b68e3a45021,2,napkin,16.0,,True,False,0,False,,,napkin,0.0,0.0,11.0,2.0,0.0,53987712fdf99b68e3a45021,False
91,53987712fdf99b68e3a45021,2,orange,51.0,15.0,True,True,0,False,,,orange,3.0,1.0,16.0,2.0,0.0,53987712fdf99b68e3a45021,True
92,53987712fdf99b68e3a45021,2,oyster,45.0,10.0,True,True,0,False,,,oyster,2.0,2.0,15.0,2.0,1.0,53987712fdf99b68e3a45021,True
93,53987712fdf99b68e3a45021,2,pen,,14.0,False,True,0,True,1.0,42.0,pen,3.0,-1.0,6.0,1.0,1.0,53987712fdf99b68e3a45021,False
94,53987712fdf99b68e3a45021,2,piano,26.0,,True,False,0,False,,,piano,1.0,0.0,12.0,2.0,0.0,53987712fdf99b68e3a45021,False
95,53987712fdf99b68e3a45021,2,pinecone,18.0,8.0,True,True,0,False,,,pinecone,0.0,2.0,11.0,2.0,1.0,53987712fdf99b68e3a45021,True
96,53987712fdf99b68e3a45021,2,plate,15.0,,True,False,0,False,,,plate,2.0,-1.0,10.0,2.0,1.0,53987712fdf99b68e3a45021,False
97,53987712fdf99b68e3a45021,2,purse,25.0,,True,False,0,False,,,purse,1.0,-1.0,12.0,2.0,1.0,53987712fdf99b68e3a45021,False
98,53987712fdf99b68e3a45021,2,reef,12.0,,True,False,0,False,,,reef,2.0,3.0,10.0,2.0,1.0,53987712fdf99b68e3a45021,False
99,53987712fdf99b68e3a45021,2,safe,55.0,,True,False,0,False,,,safe,3.0,-2.0,16.0,2.0,1.0,53987712fdf99b68e3a45021,False
100,53987712fdf99b68e3a45021,2,sail,46.0,6.0,True,True,0,False,,,sail,2.0,3.0,15.0,2.0,1.0,53987712fdf99b68e3a45021,True
101,53987712fdf99b68e3a45021,2,seal,35.0,,True,False,0,False,,,seal,3.0,-2.0,13.0,2.0,1.0,53987712fdf99b68e3a45021,False
102,53987712fdf99b68e3a45021,2,shed,56.0,,True,False,0,False,,,shed,3.0,-1.0,16.0,2.0,1.0,53987712fdf99b68e3a45021,False
103,53987712fdf99b68e3a45021,2,sheep,50.0,,True,False,0,False,,,sheep,3.0,0.0,16.0,2.0,0.0,53987712fdf99b68e3a45021,False
104,53987712fdf99b68e3a45021,2,skate,40.0,,True,False,0,False,,,skate,1.0,3.0,14.0,2.0,1.0,53987712fdf99b68e3a45021,False
105,53987712fdf99b68e3a45021,2,ski,8.0,20.0,True,True,0,False,,,ski,0.0,-1.0,9.0,2.0,1.0,53987712fdf99b68e3a45021,True
106,53987712fdf99b68e3a45021,2,store,3.0,,True,False,0,False,,,store,0.0,2.0,9.0,2.0,1.0,53987712fdf99b68e3a45021,False
107,53987712fdf99b68e3a45021,2,suv,6.0,19.0,True,True,0,False,,,suv,0.0,-3.0,9.0,2.0,1.0,53987712fdf99b68e3a45021,True
108,53987712fdf99b68e3a45021,2,tadpole,20.0,,True,False,0,False,,,tadpole,0.0,4.0,11.0,2.0,1.0,53987712fdf99b68e3a45021,False
109,53987712fdf99b68e3a45021,2,tape,37.0,18.0,True,True,0,False,,,tape,1.0,0.0,14.0,2.0,0.0,53987712fdf99b68e3a45021,True
110,53987712fdf99b68e3a45021,2,tie,21.0,,True,False,0,False,,,tie,0.0,5.0,11.0,2.0,1.0,53987712fdf99b68e3a45021,False
111,53987712fdf99b68e3a45021,2,toenail,17.0,,True,False,0,False,,,toenail,0.0,1.0,11.0,2.0,0.0,53987712fdf99b68e3a45021,False
112,53987712fdf99b68e3a45021,2,tomato,41.0,,True,False,0,False,,,tomato,1.0,-2.0,14.0,2.0,1.0,53987712fdf99b68e3a45021,False
113,53987712fdf99b68e3a45021,2,truck,53.0,,True,False,0,False,,,truck,3.0,3.0,16.0,2.0,1.0,53987712fdf99b68e3a45021,False
114,53987712fdf99b68e3a45021,3,acorn,17.0,12.0,True,True,0,False,,,acorn,1.0,3.0,19.0,3.0,1.0,53987712fdf99b68e3a45021,True
115,53987712fdf99b68e3a45021,3,alligator,19.0,,True,False,0,False,,,alligator,1.0,-3.0,19.0,3.0,1.0,53987712fdf99b68e3a45021,False
116,53987712fdf99b68e3a45021,3,asparagus,26.0,19.0,True,True,0,False,,,asparagus,2.0,-2.0,20.0,3.0,1.0,53987712fdf99b68e3a45021,True
117,53987712fdf99b68e3a45021,3,belt,15.0,,True,False,0,False,,,belt,1.0,1.0,19.0,3.0,1.0,53987712fdf99b68e3a45021,False
118,53987712fdf99b68e3a45021,3,bus,8.0,,True,False,0,False,,,bus,3.0,1.0,18.0,3.0,1.0,53987712fdf99b68e3a45021,False
119,53987712fdf99b68e3a45021,3,cage,29.0,,True,False,0,False,,,cage,1.0,1.0,21.0,3.0,0.0,53987712fdf99b68e3a45021,False
120,53987712fdf99b68e3a45021,3,candle,54.0,,True,False,0,False,,,candle,0.0,4.0,24.0,3.0,1.0,53987712fdf99b68e3a45021,False
121,53987712fdf99b68e3a45021,3,canyon,11.0,,True,False,0,False,,,canyon,3.0,-3.0,18.0,3.0,0.0,53987712fdf99b68e3a45021,False
122,53987712fdf99b68e3a45021,3,carrot,53.0,,True,False,0,False,,,carrot,0.0,3.0,24.0,3.0,1.0,53987712fdf99b68e3a45021,False
123,53987712fdf99b68e3a45021,3,doll,12.0,,True,False,0,False,,,doll,3.0,-2.0,18.0,3.0,0.0,53987712fdf99b68e3a45021,False
124,53987712fdf99b68e3a45021,3,easel,7.0,7.0,True,True,0,False,,,easel,3.0,0.0,18.0,3.0,0.0,53987712fdf99b68e3a45021,True
125,53987712fdf99b68e3a45021,3,emu,2.0,,True,False,0,False,,,emu,0.0,1.0,17.0,3.0,0.0,53987712fdf99b68e3a45021,False
126,53987712fdf99b68e3a45021,3,farm,49.0,,True,False,0,False,,,farm,2.0,-1.0,23.0,3.0,1.0,53987712fdf99b68e3a45021,False
127,53987712fdf99b68e3a45021,3,finch,23.0,,True,False,0,False,,,finch,2.0,1.0,20.0,3.0,1.0,53987712fdf99b68e3a45021,False
128,53987712fdf99b68e3a45021,3,fox,27.0,,True,False,0,False,,,fox,2.0,-1.0,20.0,3.0,1.0,53987712fdf99b68e3a45021,False
